TOT_WORKERS,MPI_RANKS,OMP_THREADS,NODES,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
4,2,2,2,5.633,17754.236,4.216,1.054
6,2,3,2,3.982,25117.079,5.965,0.994
6,3,2,2,4.204,23784.567,5.65,0.942
8,2,4,2,3.104,32215.62,7.652,0.956
8,4,2,2,3.994,25034.775,5.947,0.743
9,3,3,2,3.157,31677.719,7.523,0.836
12,3,4,2,2.696,37087.704,8.81,0.734
12,4,3,2,3.136,31892.766,7.574,0.631
16,2,8,2,2.612,38282.596,9.093,0.568
16,4,4,2,2.667,37490.395,8.906,0.557
16,8,2,2,3.967,25205.693,5.987,0.374
24,3,8,2,2.814,35541.239,8.44,0.352
24,8,3,2,3.057,32713.639,7.769,0.324
32,4,8,2,2.73,36630.258,8.7,0.272
32,8,4,2,2.638,37902.327,9.003,0.281
64,8,8,2,2.709,36913.051,8.767,0.137
